text,actual_encoded,predicted_encoded,actual_category,predicted_category
receive email xxxx different bank ask click link provide email verify account mine reply one email account chase bank state individual associate account telephone number call reply email way knew might able communicate receive six email chase bank since xxxx xxxx receive email xxxx state account access unauthorized location xxxx account phone number call bank xxxx receive email xxxx state contact inform security department identify unusual activity account email link click verify account telephone number account sue debt believe mine well inquire investigation concern well place fraud alert xxxx credit reporting agency sure attach email website help would appreciate xxxx,2,4,"Credit reporting, credit repair services, or other personal consumer reports","Money transfer, virtual currency, or money service"
particular account situation lately filing credit document seriously unfavorable relation personal ability obtain present loan application highly recommend generate verification credit union report completely accordance fair credit reporting act regulation really serious problem misreport confirmation aforesaid item proper request must never day day day late payment greatly tune date open prefer ask investigate soon possible confirm correct thanks,1,7,Credit card or prepaid card,Vehicle loan or lease
jpmchase reporting continued late payment vehicle lease account xxxx ive several case open past year time told issue mistake resolve late payment reappear harm credit,2,7,"Credit reporting, credit repair services, or other personal consumer reports",Vehicle loan or lease
sell property xxxx chase bank xxxx month late house sell ask payoff receive help ever told house foreclosure never receive paperwork notice chase also held xxxx month charge penalty interest thru period several xxxx dollar call least xxxx time well closing attorney also never receive response day call ask original paperwork still get run around report credit bureau house foreclose truth closing delayed directly bank self pay,0,5,Checking or savings account,Mortgage
xxxx xxxx xxxx may concern write express disappoint chase bank customer chase xxxx year recently decide discontinue account total xxxx faith banking service longer xxxx xxxx xxxx deposit cashier check amount never experience cashier check vendor business transaction wait xxxx xxxx xxxx withdraw monies account spoke xxxx xxxx prior withdrawal banker xxxx xxxx branch xxxx xxxx reassure cashier check clear could withdraw monies even get letter chase bank date xxxx xxxx xxxx indicate check return due alter fictitious absolutely appalled bank day xxxx reassure money clear possible letter sit mailbox whole time see fictitious computer screen next day confront xxxx contact supervisor couldnt give answer direct xxxx customer claim escalation xxxx claim center xxxx xxxx xxxx also say nothing could ask teller couldnt see check fraudulent say thats fraud department separate happen bank doesnt see absolutely disgust told xxxx would close account could nothing xxxx xxxx town direct xxxx xxxx branch xxxx xxxx xxxx branch xxxx xxxx least sympathetic plight attempt directly send chain customer escalation time sent xxxx xxxx xxxx xxxx xxxx explain story appear empathetic week come back claim nothing could ask bank insured event say sign cashier check take full responsibility reiterate teller screen front didnt see check fraudulent reassure check clear believe point faith chase bank monies final attempt try recuperate relationship chase ask xxxx xxxx give airline mile chase credit card account escalate situation time xxxx xxxx xxxx spoke xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx also advise chase even willing give mile recuperate relationship time process closing account chase include private check saving account home mortage business check account several business personal credit card total xxxx feel do due diligence maintain relationship chase bank obviously doesnt value respect client note private client one time dont feel trust chase bank vested well being money action take hard earn money elsewhere respect shame chase bank,4,0,"Money transfer, virtual currency, or money service",Checking or savings account
two credit card chase bank incorrect amount take credit report charge excessive fee adjust accordingly thus balance minimum payment incorrect take credit report account close also foreclosure house credit report satisfied thus report year,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
refund due amazon refuse,4,1,"Money transfer, virtual currency, or money service",Credit card or prepaid card
monday xxxx xxxx father law elderly person request help daughter law son due xxxx xxxx xxxx receive payment authenticate father law xxxx time bill pay transaction xxxx xxxx xxxx phone bill paid xxxx xxxx never receive xxxx xxxx xxxx cause father law stress never issue unfair deceptive practice chase give runaround xxxx xxxx patiently wait xxxx xxxx hour claim manager due high volume call finally transfer manager xxxx speak xxxx different chase representative various document name xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx lastly xxxx xxxx claim department manager call start simple question xxxx xxxx xxxx receive recur payment phone bill chase refer back xxxx xxxx xxxx provide proof payment xxxx xxxx xxxx approve request transmittal report faxed directly chase contact chase request transmittal form representative familiar continued transfer different representative issue finally hopefully resolve xxxx even bad experience chase type experience unfair practice lack training important client elder treat type experience,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
claim contact certain date flat lie phone record prove see attorney well documentation prof chase bank lie,5,0,Mortgage,Checking or savings account
really see choice fit hope go correct place today xxxx sign chase com pay mortgage credit card sign screen appear directs read accept electronic agreement digital agreement agree forward longer access account know expect click continue little time stuck home know read first document page long expect write completely obfuscate intent kind get drift second attach full page long write even bad suppose understand unless spend several hundred dollar attorney decipher understand need legally specific deliberately descends totally incomprehensible one assume little good much bad consumer thing write benefit proof many actually read let alone understood good,1,5,Credit card or prepaid card,Mortgage
apply chase unlimited freedom credit card deny xxxx credit report,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
offer concert ticket upcoming show via xxxx back forth conversation settle price payment method xxxx sent payment person immediately ask send money different user name use payment method told would send money money sent return excuse come get money return knew scammed report issue xxxx told nothing could much struggle try get assistance xxxx xxxx contact bank chase file claim within hr notify fraud try protect fund push back xxxx xxxx hold scammer accountable false transaction chase research told consider valid transaction let money deduct account make effort request evidence validate scammed allow xxxx xxxx facilitate fraudulent act expense bank size definitely measure place protect customer sort illegitimate transaction assist thief take money honest people,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
xxxx xxxx xxxx provide disclosure agreement signature card time open account online xxxx chase close federal benefit exempt account xxxx receive several letter chase reference deposit agreement never receive understand chase obligation provide information within day opening account future chase bank may want send deposit agreement signature card disclosure way ensure proof consumer receipt acceptance would especially relevant consumer open account online receive signature card chase accompany letter date xxxx signature card miss signature would require document signature card use security measure verify signature comparative therefore signature card would require live wet signature signature card chase sent recognize sign must conclude signature card sent create fictitious document attempt deceive,0,1,Checking or savings account,Credit card or prepaid card
jpmcb card service continue put debt credit report mine part identity theft file refuse remove debt despite multiple demand,2,3,"Credit reporting, credit repair services, or other personal consumer reports",Debt collection
charge late fee xxxx time recently chase xxxx xxxx xxxx xxxx xxxx xxxx even though paid due amount upload record payment share write ask reverse fee revert xxxx xxxx payment make due xxxx xxxx check account online record xxxx show payment indeed complete xxxx xxxx yet xxxx late fee apply even though paid regular due amount due date xxxx xxxx attach possible upload record correspondence new xxxx late fee apply xxxx xxxx even though paid due amount even include artificially increase amount deliver xxxx xxxx deliver xxxx xxxx understand chase desire increase revenue apply late fee case justified payment submit reach due date hand ask check account bank xxxx xxxx bank take even day sometimes electronic payment travel another bank already establish payment route,1,5,Credit card or prepaid card,Mortgage
mistakenly deposit money xxxx old chase business banking account accrue debt kept money instated check name old business told chase branch would cash check go branch make clear cash business check call chase business customer service able find solution state send check name one willing work money unable cash find solution,4,0,"Money transfer, virtual currency, or money service",Checking or savings account
previously submit complaint xxxx response chase bank want want detailed investigation photo status allege credit card allege xxxx xxxx yhis buy card,0,1,Checking or savings account,Credit card or prepaid card
chase bank ohio applay credit card chase freedom bank online year ago xxxx xxxx personal check saving chase liquid card paid fee xxxx xxxx month ago check account paid rent money order xxxx report injury credit score,1,0,Credit card or prepaid card,Checking or savings account
onxx xxxx go xxxx dealership xxxx xxxx test drive new car sale rep xxxx xxxx say would need run soft pull estimate pricing specifically ask would hard pull rep assure would say hard pull would occur decide move forward actual lease receive notification xxxx hard pull indeed make account way authorize hard credit pull account dealership fraudently ask information conduct soft pull,2,7,"Credit reporting, credit repair services, or other personal consumer reports",Vehicle loan or lease
morgan chase bank xxxx xxxx xxxx client good afternoon receive email horr ifying story share family amp friend last night xxxx amp source medium side note already go local news morgan chase bank protect client like claim xxxx call couple day ago say look amp help amp recover fund xxxx day later call say chase help amp file complaint ftc gov website loss decent amount money due chase bank representative put back burner xxxx day show xxxx empathy situation amp call xxxx day later beat around bush amp finally say chase help decision proceed transaction base upon assurance chase xxxx xxxx rep repeat numerous time everything good check legit dealership exact word state time xxxx xxxx xxxx local news company run report interview poorly treat amp morgan chase bank sit multi million billion dollar office tell tha xxxx keep get run around institution one comprehend word say associate keep talk thing even relevant nightmare go besides right keep hit dead end another need someone read story amp take serious amp actually care customer service amp extra mile client morgan chase bank huge financial institution amp client well xxxx year would nice give professional business respect amp due part look thing amp best interest greatly appreciate sort contact response back via email amp call back please restore faith institution show someone kind say amp make thing happen without continue keep passing amp make someone else problem attention family please read xxxx share really really pain amp want everyone careful amp research make purchase online recently fall victim online scam auto dealership alliance found xxxx website beautiful truck post last week share everyone new truck baby look like end huge scam amp completely unaware thing wire xxxx deposit auto loan chase bank morgan chase bank whatever approve auto loan ssociates xxxx xxxx xxxx supposedly checked verify legitimacy xxxx xxxx auto sale entail check website business license amp dealer resale license say everything good xxxx associate go far say numerous time everything look good check amp legit send xxxx amp get rest document bank need cut check remain balance retuning call email contact xxxx ohio amp woman spoke conduct background check phone amp found fact legit dealership operate many different business name contact friend friend attorney xxxx xxxx xxxx found group scammer quite sometime amp currently investigation fbi along case,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
recently receive cash bequest use pay large amount debt reason retiree want reduce monthly outgoings want improve credit score purchase new car want finance paid xxxx mortgage xxxx heloc chase paid xxxx auto loan still another auto loan xxxx interest credit card xxxx outstanding xxxx xxxx xxxx serious delinquency initial complaint chase still reporting xxxx heloc outstanding nearly week paid affect credit utilization loan payoff acknowledge give credit score around xxxx apply xxxx xxxx auto loan new car turn flat every lender told credit utilization high complain chase credit reporting agency old data report detrimentally affect ability borrow money chase fix reporting end need heloc anymore go use auto loan interest high adjustable rate chase ask want close account course account redundant nobody warn advise could damage effect credit rating xxxx acknowledge loan paid sent mail alert change credit score paid credit monitoring log dashboard find credit score drop xxxx call xxxx discus told act closing heloc view negatively unwilling explain excellent year record responsible borrowing time payment house free clear value xxxx current car xxxx liquid asset around xxxx semi liquid asset xxxx investment around xxxx chase warn potential negative outcome closing heloc account penalize pay debt longer borrow money could borrow would exorbitant rate interest fair even legal people give clear information affect credit rating make appropriate decision would close heloc account know would cause credit score crater seem blackmail stay debt avoid credit rating damage extortion,2,7,"Credit reporting, credit repair services, or other personal consumer reports",Vehicle loan or lease
apply chase sapphire reserve credit card chase say verify social security information could create hard inquiry think error system call say verify social security could create hard inquiry respond sorry get information please want remove hard inquiry affect credit score chase card xxxx xxxx bank credit card xxxx xxxx xxxx xxxx xxxx xxxx xxxx,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
shock review credit report found late payment date jpmcb auto account xxxx never day late sure happen believe make payment receive statement thought monthly statement get auto payment error jpmcb end call jpmcb told call credit bureau error reporting file,2,7,"Credit reporting, credit repair services, or other personal consumer reports",Vehicle loan or lease
two refinances chase bank frequently call people know bank different department call verify information first ask social security information despite website state give financial information check account credit card number especially social security number phone unless make call know person organization deal give information stranger even someone claim chase process delayed closing loan application cause additional payment interest frustrate overall process systemic,5,0,Mortgage,Checking or savings account
annual credit check found one debt jpmcb card service close learn morgan chase bank never credit card company account number identify call card service xxxx number list learn deny credit creditor sits credit report negative mark,3,2,Debt collection,"Credit reporting, credit repair services, or other personal consumer reports"
xxxx try purchase home found mortgage heloc account chase bank report discharge bankruptcy finalize xxxx however reaffirm debt bankruptcy continued make payment mortgage heloc sell home xxxx could possibly discharge almost year sell spite try get chase bank correct refuse file complain three credit agency say confer bank bank confirm reporting accurate attach payment history mortgage heloc show payment make xxxx ignore,2,5,"Credit reporting, credit repair services, or other personal consumer reports",Mortgage
paid credit card chase till report charge account paid close,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
receive call number claim chase fraud team representative unauthorized transaction check account since recently dealt three credit card one chase amazon xxxx credit card two xxxx xxxx xxxx seem like another instance person people since fraudulent charge come amazon call go person speak ask full debit card number could send code access account didnt realize time phone scam gain access check account transfer money steal number call legitimate chase number employee chase spoofed number also spoofed number sent two factor authentication code make seem like come chase wasnt put hold individual speak spoke manager realize happen lock chase online banking account quickly reset password username get access account find already transfer check account use xxxx xxxx feature add scammer information email address xxxx set name recipient chase look legitimate immediately call chase customer claim initiate fraud dispute claim proceed close current check saving account compromise initiate claim phone since branch offer option however branch close account replace debit card also file police report xxxx police department file identity theft report instruct fraud prevention team additionally place fraud alert credit report due severity pattern recent unauthorized activity receive initial claim letter email chase claim call almost week get type status update claim need additional info go receive steal money back etc finally award provisional credit steal money investigate claim told take full month complete would hear need additional documentation didnt hear anything else chase claim sent pdf letter via email update update reason conclude fraudulent planning reverse credit issue steal money call spoke claim representative told deny device history show unauthorized activity make absolutely zero sense upon view device access history blatantly see completely different unknown browser address location outside state use vpn device account normal recognize include screenshot device history show unauthorized login day money steal request copy police report send identity theft report chase appeal claim deny money reverse fact appeal something clearly fraudulent beyond hardly inform throughout entire process even proof unauthorized fraudulent activity still insist something authorize clearly victim phone scam number spoofed unlawfully use less handle situation stop make right,4,0,"Money transfer, virtual currency, or money service",Checking or savings account
xxxx xxxx told could get loan defer upon summitting military order receive notification deferment request receive apparently time still bill wrong address never receive anything notification regard make payment xxxx xxxx told sent multiple letter additional information regard deferment never call credit score decrease significantly show delinquent past due payment defer,6,2,Student loan,"Credit reporting, credit repair services, or other personal consumer reports"
attempt collect wrong loan false statement representationillegal unlawful criminal engage racket public judiciary cause homeowner unlawfully lose home money defendant engage litigation defend themsleves false filing bank xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx bank xxxx successor morgan chase bank trustee ramp xxxx stand home assignment exist defendant xxxx bank xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx bank xxxx company xxxx successor morgan chase bank trustee ramp xxxx fraudulent create see date assignment create xxxx longer exist defendant xxxx xxxx claim officer defendant xxxx whose office locate xxxx xxxx upon information belief xxxx xxxx officer defendant xxxx upon information belief notary fraud know fraud xxxx xxxx xxxx xxxx xxxx xxxx pattern abuse judiciary system attach manufacture mortgage document note whole cloth order establish legal stand foreclose home xxxx xxxx see exhibit xxxx fraud assignment deed trust notary fraud document fictitious false fraudulent legal document file court xxxx office penalty perjury foreclosure complaint conceals fact deliberately disorient sow confusion state mortgage defendant xxxx nominee xxxx provide proof assignment xxxx create fraud assignment deed xxxx year original lender cease exist assignment mortgage fraud create xxxx defunct xxxx live person xxxx xxxx bank xxxx xxxx xxxx service create fruad assignment bank cease fdic see attach see similar fraud create xxxx xxxx xxxx xxxx xxxx xxxx xxxx audit xxxx xxxx land record audit attach xxxx similar docx feature minute fraud assignment robo signer fraud signer work multiple claim officer many banking intuition disclosure personal conflict interest dodd frank law future commission merchant introduce broker must disclose research report research analyst must disclose public appearance whether research analyst maintains financial interest derivative type research analyst follow general nature financial interest xxxx law firm xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx state license attorney conspirator collection agent xxxx actually represent xxxx bank xxxx morgan conflict interest epresenting multiple client different interest case bank xxxx xxxx xxxx xxxx xxxx xxxx bank xxxx xxxx xxxx xxxx xxxx successor morgan chase bank trustee xxxx xxxx non existence trust stand file foreclosure xxxx morgan conspirator xxxx xxxx xxxx conspirator xxxx law firm xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx license attorney conspirator xxxx document manufacturing company similar xxxx robo signing xxxx xxxx feature minute,3,5,Debt collection,Mortgage
found judgement record look verify mine contact chase follow step told need follow remove judgement settle paid agree amount faxed paperwork ask say would take month process remove month ago contact twice say would mail paperwork verify mail address time yet receive anything proceed,1,3,Credit card or prepaid card,Debt collection
year old ask chase remove mmortgage statement embarrases cant submit second loan refuse,2,5,"Credit reporting, credit repair services, or other personal consumer reports",Mortgage
bill auto bill reach company say saw payment try come bank reject never notify rejection give late payment get mortgage mark credit company help unfair situation,1,7,Credit card or prepaid card,Vehicle loan or lease
may concern xxxx xxxx sent father time xxxx via mobile number xxxx chase bank xxxx xxxx xxxx father receive confirmation xxxx xxxx xxxx xxxx account credit never receive money call chase say money go match name phone number kept give run around transfer person person one knew say spend many many hour work try handle still resolve lot money hope pray guy assist get money back month stress feel loose thanks xxxx xxxx,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
xxxx xxxx hack computer due unknown reason hold computer ransom refuse let use ive change five computer ive spent get security par,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
provide receipt payment chase branch clear unpaid balance chase yet clear issue xxxx xxxx inaccurately reporting debt paid promise clear xxxx go apply check saving account xxxx xxxx xxxx deny application check state chase bank report balance delinquency send proof payment chase xxxx xxxx xxxx xxxx xxxx state balance still show chase go fix inaccurate unfair prejudice reporting discriminate bank communicate inaccurate information reporting xxxx xxxx,0,2,Checking or savings account,"Credit reporting, credit repair services, or other personal consumer reports"
settlement agreement chase good time agreement last final payment recieved alert chase apply last payment instead xxxx week early agree call directly coz dont enough fund time fund available xxxx agree chase say need call bank pay understand deposit check sched xxxx wait final payment check clear xxxx sent collection agency xxxx without courtesy call even answer call type report complain try hard despite financial difficulty pay due penalize stuff pretty much control suck,1,3,Credit card or prepaid card,Debt collection
chase bank jpmcb card service year date xxxx xxxx xxxx xxxx bank new agreement collection chase remove delete late charge put account make new agreement therefore try fix say change remove date,3,2,Debt collection,"Credit reporting, credit repair services, or other personal consumer reports"
previously submit complaint xxxx xxxx erroneous payment amount post xxxx originally call chase bank xxxx schedule payment xxxx submit additional complaint due second erroneous payment amount post xxxx attach xxxx xxxx xxxx message indicate payment attempt nsf fee charge total nsf fee two payment never authorize contact chase bank today xxxx explain receive second notice bank attempt withdraw fund chase bank rep explain see second attempt system chase bank rep explain standard second attempt payment make automatic ask call record indicate call infact record chase bank rep explain chase bank expectation customer fund available payment make rep explain sign disclosure agreement payment attempt twice explain chase bank rep customer expectation payment take place date request chase bank rep say aware original complaint want know call today kindly explain rep receive second notice bank another nsf fee xxxx chase bank rep state forward complaint could determine refund require nsf fee due two separate erroneous attempt take payment car xxxx xxxx disparage twice chase bank rep explain company policy sure point even receive response first error additionally request financial information remove computer system afford chase bank possession banking information literally cost effective literally idea deal chase bank think clear concept first call resolution customer centricity believe desire take care customer also believe many concern internally need immediate attention,7,0,Vehicle loan or lease,Checking or savings account
previously second mortgage loan chase loan unfortunately charge loan modify chase chase maintain lien property second lien first remain current try sale home chase refuse talk loan refers xxxx xxxx xxxx xxxx xxxx inflate amount originally charge debt explanation charge another situation sell home xxxx longer speak refers xxxx xxxx xxxx think unfair practice whereby company unfairly inflate debt hold sale property debt past statue limitation type legal action consumer,3,5,Debt collection,Mortgage
xxxx worker hold account chase communicate chase time account open last week arrive xxxx work contact chase arrange wire transfer location clearly communicate multiple time several agent advise issue initiate wire transfer flag call chase morning advise transfer froze account well agent able access information advise unfreeze account personally visit branch regional bank massive global entity operates nearly country yet deliberately misadvise customer product availability member global workforce falsely advertise ease use internationally allow customer deposit salary seize money leave customer strand clear pay rent buy airfare country like become highly vulnerable dangerous corrupt police every chase representative personally responsible become nightmare legal case chase unless find solution international worker,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
please see authorization get fund return client xxxx xxxx xxxx xxxx paid lien payment automatic payment continued pay lien chase kept accept payment even thought lien paid relieve dollar payment close escrow honest thing would chase return payment note explain receive payment loan paid instead use xxxx money time enough return money immediately please demand chase send check make xxxx xxxx xxxx immediately sincere thanks assistance xxxx xxxx,5,7,Mortgage,Vehicle loan or lease
shock review credit report found late payment date day past due xxxx xxxx sure happen believe make payment receive statement thought monthly statement get,1,7,Credit card or prepaid card,Vehicle loan or lease
xxxx call chase discus difficulty make regular schedule payment time make call complete time length hour first spoke xxxx get spoke xxxx xxxx spoke xxxx xxxx finally able help explain two program offer one defer one month payment year relief program chose year program told interest rate would low fee account would close paid year put hold come back say good news interest rate would also ask payment amt would comfortable told ask income expense told home would exact figure say would give figure put hold come back ask pay health insurance sure ask already deduction paycheck also explain figure income wrong figure income base check per month really get pay check seem confuse left give another hold come back told approve payment would told would work say go pas supervisor final approval come back say approve expense income told incorrect would figure income transfer supervisor wait phone still connect one come line take hour minute call back get xxxx xxxx explain everything hold supervisor never come line explain new phone system would make sure supervisor would come line try transfer bad connection talk xxxx xxxx collection xxxx handle process told eligible eligible correct income explain say would call customer service day reapply relief program time take deferral xxxx payment next payment would due xxxx call back xxxx discus difficulty make xxxx payment want get day behind first talk xxxx xxxx explain call start talk call disconnect call back talk xxxx xxxx call disconnect thought maybe cell phone call use land line phone call back time talk xxxx xxxx told call say note system call xxxx first one talk note call disconnect call back time land line talk xxxx xxxx call disconnect call xxxx day xxxx receive xxxx work first complaint sent enter digit extension request receive message valid entry call back enter ext recevd msg stayed line get xxxx voice mail left message call call back xxxx enter digit extension able speak xxxx explain xxxx frustration call try figure help payment call every call disconnect told someone could call back say number save unless conversation give one rep look info give first person talk xxxx xxxx say would leave message xxxx never receive call back xxxx also share xxxx phone call receive chase harassment least follow call receive xxxx call day period today call two one mistaken call week may call repeatedly apologize say would definitely xxxx call never xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx call xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx call xxxx xxxx xxxx xxxx call xxxx xxxx xxxx xxxx call xxxx xxxx xxxx xxxx twice xxxx call xxxx talk xxxx department review complaint told xxxx return call apologize say handle complaint also explain frustration customer service able speak someone regard payment repeat phone call chase make next impossible customer get help harass multiple phone call call day period call come one,1,5,Credit card or prepaid card,Mortgage
email chase ask explain payment due xxxx xxxx marked corporate advance paid also ask chase change corporate advance paid payment reflect payment refuse xxxx xxxx chase response xxxx xxxx receive payment apply payment towards corporate advance fee xxxx xxxx confuse term use since know meant payment debit correctly xxxx xxxx start new payment since mortgage interest website change old amount new one xxxx paid mortgage short paid payment marked corporate advance paid show payment xxxxxxxx xxxx corporate advance paid xxxxxxxx xxxx corporate advance xxxxxxxx xxxx payment xxxxxxxx xxxx corporate advance paid xxxxxxxx xxxx corporate advance xxxxxxxx xxxx arm adjustment,0,5,Checking or savings account,Mortgage
father obtain credit card name debt go collection make aware debt contact debtor prove incur debt therefore owe accord mortgage company debt still credit record receive copy xxxx report debt appear delete mortgage company state debt still resides xxxx report,1,3,Credit card or prepaid card,Debt collection
settle debt xxxx xxxx work chase believe make payment time issue job call schedule payment later say agree charge triple already make payment couldnt see report go make payment date told longer could make payment try contact chase say account found also date receive letter state new balance anything like,3,1,Debt collection,Credit card or prepaid card
found xxxx hard inquiry credit need help deal inquiry concerned somebody theft identity,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
obtain credit report found fraudulent address account open name chase bank allow credit card open name reporting negative information card credit profile never use card apply order card card open due fraud attach copy social security card birth certificate lease show actually live live card open,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
chase bank sent statement month xxxx auto draft xxxx pay xxxx month xxxx xxxx write check amount xxxx pay entire bal show owe chase recvd check process xxxx xxxx xxxx xxxx account zero bal xxxx xxxx chase charge acct xxxx intrest told one manager tonite charge intrest month advance person pay credit acct day later company charge intrest xxxx bal acct recv statement balance show write check amount chase charge intrest paid acct lucky go look acct would change intrest late fee would make credit beaurea show late,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
chase bank sent offer letter settle home equity line credit less original amount settlement term cancel outstanding balance account settlement payment sent cashed chase bank however settlement term honor balance still show credit report,5,2,Mortgage,"Credit reporting, credit repair services, or other personal consumer reports"
xxxx xxxx xxxx approve auto financing xxxx xxxx bank xxxx xxxx xxxx contract sign xxxx xxxx xxxx texas xxxx xxxx bank financing company xxxx xxxx xxxx inform xxxx xxxx bank xxxx xxxx xxxx xxxx retract contract ask xxxx state social security number invalid therefore could sell vehicle however request put write several inquiry appear credit report auto financing never agree authorize xxxx xxxx apply credit already approve xxxx xxxx bank contract sign xxxx xxxx xxxx complaint also file xxxx xxxx xxxx xxxx xxxx xxxx commissioner please review attach,2,7,"Credit reporting, credit repair services, or other personal consumer reports",Vehicle loan or lease
xxxx xxxx receive pre certification mortgage lender base credit score xxxx xxxx xxxx chase erroneously report credit card account xxxx balance usage credit result damage drop credit score xxxx less hour go settlement closing primary residence week painful negotiation credit final review display erroneous fraudulent account profile want chase held liable potential lose home longer honor pre authorize fix rate year mortgage calculate prior fraudulent report chase apply account phone chase seven hour still phone try resolve first give extremely hard time claim nothing wrong admit error sent fax document erroneous report update correct information however business day turnaround long closing hour ask chase call bureau make physical follow phone call xxxx refuse provide last name chase credit bureau specialist unit department reluctant rude hung call back spoke xxxx xxxx unit apologetic sympathetic helpful could contact xxxx still say would take hour remove score recalculate beg hold chase accountable complete injustice fraud criminal need contact credit bureau immediately physically speech bureau individually electronic processing business day acceptable situation account remove request rapid rescore bureau want physical documentation bureau remove want rapid rescore provide financial ruin chase need shoulder cost rapid rescore chase allow something like please ensure penalize way absolutely outrageous bank continue allow hurt law abide citizen country without recourse accountability,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
scammed try make purchase use xxxx xxxx xxxx morgan chase bank account total transaction first fro amount trans action xxxx xxxx second amount transaction xxxx xxxxand final payment amount transaction xxxx receive product seller state would return money unless payed money stop communicate seller contact company told tag person account activity feel fair something do one help recovery anything,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
account open xxxx bank say last payment xxxx wrong last time payment xxxx account drop report year,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
chase bank enrol covid program halt payment interest still accrue etc agree harass day call finally log account see issue still show payment due per covid assistance program continued get harass mail call block finally call spoke rep hour repeatedly told despite covid protection still consider late repeatedly told yes understand account still day late even though technically owe payment become delinquent day etc contest actually nature agreement would consider late assess fee sent collection furthermore log account option pay say payment due insist understand something eventually hung without attempt call back despite repeatedly say still line devestated trickery felt suppose covid assistance chase deceptively provide consumer since paid account full never trust company use account anymore,1,7,Credit card or prepaid card,Vehicle loan or lease
use xxxx xxxx budget avoid overdraft depend bank send update balance transaction information bank consistently unacceptably slow send information,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
escalate concern continue identity theft pinpoint service error morgan chase corporate office chase bank recent still see morgan chase report year specialty credit reporting simple check account happen chase bank agree close check saving safety deposit box xxxx xxxx xxxx xxxx xxxx xxxx spending summer xxxx xxxx xxxx found chase bank xxxx close safety deposit box paper sign xxxx xxxx xxxx xxxx xxxx xxxx ask chase bank numerous opt out database marketing ask corporate removal information database refuse also contact branch xxxx number time year originally open check account inform continually solicated make fraud theft scamming morgan chase make additional report morgan chase fraud prevention success continue pinpoint service error,2,0,"Credit reporting, credit repair services, or other personal consumer reports",Checking or savings account
